1:1	ቃለ፡ በረከት፡ ዘሄኖክ፡ በከመ፡ ባረከ፡ ኅሩያነ፡ ወጻድቃነ፡ እለ፡ ሀለዉ፡ ይኩኑ፡ በዕለተ፡ ምንዳቤ፡ ለአሰስሎ፡ ኵሉ፡ እኩያን፡ ወረሲዓን።
71:4	ወአርአየኒ፡ ኵሎ፡ ኅቡኣተ፡ አጽናፈ፡ ሰማይ፡ ወኵሎ፡ መዛግብተ፡ ከዋክብት፡ ወብርሃናት፡ ኵሎሙ፡ እምኀበ፡ ይወፅኡ፡ ለገጸ፡ ቅዱሳን።
71:5	ወከበቶ፡ መንፈስ፡ ለሄኖክ፡ ውስተ፡ ሰማየ፡ ሰማያት፡ ወርኢኩ፡ በህየ፡ ማእከለ፡ ዝኩ፡ ብርሃን፡ ከመ፡ ቦቱ፡ ዘይትነደቅ፡ እምእብነ፡ አስሐትያ፡ ወበማእከለ፡ እሙንቱ፡ አእባን፡ ልሳናተ፡ እሳት፡ ሕያው።
71:6	ወርእየት፡ መንፈስየ፡ ዐውደ፡ ዘየዐውዶ፡ ለውእቱ፡ ቤት፡ እሳት፡ እምአርባዕቱ፡ አጽናፊሁ፡ ለውእቱ፡ ፈለግ፡ ምሉኣነ፡ እሳት፡ ሕያው፡ ወየዐውድዎ፡ ለውእቱ፡ ቤት።
71:7	በዐውዱ፡ ኪሩቤል፡ ወሱራፌል፡ ወአፍኒን፡ እሉ፡ እሙንቱ፡ እለ፡ ኢይነውሙ፡ ወየዐቅቡ፡ መንበረ፡ ስብሐቲሁ።
71:8	ወርኢኩ፡ መላእክተ፡ እለ፡ ኢይትኌለቁ፡ አእላፈ፡ አእላፋት፡ ወትእልፊተ፡ አእላፋት፡ ዘየዐውድዎ፡ ለውእቱ፡ ቤት፡ ወሚካኤል፡ ወገብርኤል፡ ፋኑኤል፡ ወሩፋኤል፡ ወመላእክት፡ ቅዱሳን፡ እለ፡ መልዕልተ፡ ሰማያት፡ ይበውኡ፡ ወይወፅኡ፡ በውእቱ፡ ቤት።
71:9	ወወፅኡ፡ እምውእቱ፡ ቤት፡ ሚካኤል፡ ወገብርኤል፡ ሩፋኤል፡ ወፋኑኤል፡ ወብዙኃን፡ ቅዱሳን፡ መላእክት፡ እለ፡ አልቦሙ፡ ኍልቊ።
71:10	ወምስሌሆሙ፡ ርእሰ፡ መዋዕል፡ ወርእሱ፡ ኮነ፡ ከመ፡ ፀምር፡ ጸዐዳ፡ ወንጹሕ፡ ወልብሱ፡ ዘኢይተረጐም።
71:11	ወወደቁ፡ በገጽየ፡ ወኵሉ፡ ሥጋየ፡ ተመስወ፡ ወመንፈስየ፡ ተወለጠ፡ ወጸራሕኩ፡ በቃል፡ ዐቢይ፡ በመንፈሰ፡ ኀይል፡ ወባረኩ፡ ወሰባሕኩ፡ ወአልዐልኩ።
71:12	ወእላ፡ በረከታት፡ እለ፡ ወፅኣ፡ እምአፉየ፡ ኮና፡ ሥሙራተ፡ በቅድመ፡ ዝኩ፡ ርእሰ፡ መዋዕል።
71:13	ወመጽአ፡ ውእቱ፡ ርእሰ፡ መዋዕል፡ ምስለ፡ ሚካኤል፡ ወገብርኤል፡ ሩፋኤል፡ ወፋኑኤል፡ ወአእላፍ፡ ወትእልፊተ፡ አእላፋት፡ መላእክት፡ እለ፡ አልቦሙ፡ ኍልቊ።
71:14	ወመጽአ፡ ኀቤየ፡ ውእቱ፡ መልአክ፡ ወበቃሉ፡ አምኀኒ፡ ወይቤለኒ፡ አንተ፡ ውእቱ፡ ወልደ፡ ብእሲ፡ ዘተወለድከ፡ ለጽድቅ፡ ወጽድቅ፡ ላዕሌከ፡ ኀደረ፡ ወጽድቁ፡ ለርእሰ፡ መዋዕል፡ ኢየኀድገከ።
71:15	ወይቤለኒ፡ ይጼውዕ፡ ለከ፡ ሰላመ፡ በስሙ፡ ለዓለመ፡ ዓለም፡ ዘይከውን፡ እስመ፡ እምህየ፡ ወፅአ፡ ሰላም፡ እምፍጥረተ፡ ዓለም፡ ወከመ፡ ዝ፡ ይከውን፡ ለከ፡ ለዓለም፡ ወለዓለመ፡ ዓለም።
71:16	ወኵሉ፡ ይከውን፡ ወየሐውር፡ ዲበ፡ ፍኖትከ፡ እንዘ፡ ጽድቅ፡ ኢየኀድገከ፡ ለዓለም፡ ወምስሌከ፡ ማኅደሪሆሙ፡ ወምስሌከ፡ ክፍሎሙ፡ ወእምኔከ፡ ኢይትሌለዩ፡ ለዓለም፡ ወለዓለመ፡ ዓለም።
71:17	ወከመ፡ ዝ፡ ይከውን፡ ኑኀ፡ መዋዕል፡ ምስለ፡ ውእቱ፡ ወልደ፡ ዕጓለ፡ እመሕያው፡ ወሰላም፡ ይከውን፡ ለጻድቃን፡ ወፍኖቱ፡ ርቱዕ፡ ለጻድቃን፡ በስመ፡ እግዚአ፡ መናፍስት፡ ለዓለመ፡ ዓለም።
72:1	መጽሐፈ፡ ሚጠተ፡ ብርሃናተ፡ ሰማይ፡ አሐዱ፡ አሐዱ፡ ዘከመ፡ ሀለዉ፡ በበ፡ ሕዘቢሆሙ፡ አሐዱ፡ አሐዱ፡ በበ፡ ሥልጣኖሙ፡ ወበበ፡ ዘመኖሙ፡ አሐዱ፡ አሐዱ፡ በበ፡ ስሞሙ፡ ወሙላዳቲሆሙ፡ ወበበ፡ አውራኂሆሙ፡ እለ፡ አርአየኒ፡ ኡርኤል፡ መልአክ፡ ቅዱስ፡ ዘሀሎ፡ ምስሌየ፡ ዘውእቱ፡ መራሒሆሙ፡ ወኵሎ፡ መጽሐፎሙ፡ በከመ፡ ውእቱ፡ አርአየኒ፡ ወበከመ፡ ኵሉ፡ ዓመተ፡ ዓለም፡ ወእስከ፡ ለዓለም፡ እስከ፡ ይትገበር፡ ግብር፡ ሐዲስ፡ ዘይነብር፡ እስከ፡ ለዓለም።
72:2	ወዝንቱ፡ ውእቱ፡ ትእዛዝ፡ ቀዳማዊ፡ ዘብርሃናት፡ ፀሓይ፡ ብርሃን፡ ሙፃኡ፡ በኀዋኅወ፡ ሰማይ፡ እለ፡ መንገለ፡ ጽባሕ፡ ወምዕራቢሁ፡ በኀዋኅወ፡ ሰማይ፡ ዘምዕራብ።
72:3	ወርኢኩ፡ ስሱ፡ ኀዋኅወ፡ እለ፡ እምኀበ፡ ይወፅእ፡ ፀሓይ፡ ወስሱ፡ ኀዋኅወ፡ እለ፡ ኀበ፡ የዐርብ፡ ፀሓይ፡ ወወርኅ፡ በውእቶን፡ ኀዋኅው፡ ይሠርቅ፡ ወየዐርብ፡ ወመራሕያኒሆሙ፡ ለከዋክብተ፡ ሰማይ፡ ምስለ፡ እለ፡ ይመርሕዎሙ፡ ስድስቱ፡ በጽባሕ፡ ወስድስቱ፡ በምዕራበ፡ ፀሓይ፡ ወኵሎሙ፡ አሐዱ፡ አሐዱ፡ እምድኅረ፡ ካልኡ፡ ርቱዕ፡ ወመሳክው፡ ብዙኃት፡ እምየማኑ፡ ወእምጸጋሙ፡ ለዝኩ፡ ኆኅት።
72:4	ወቀዳሚ፡ ይወፅእ፡ ብርሃን፡ ዘየዐቢ፡ ዘስሙ፡ ፀሓይ፡ ወክበበ፡ ዚኣሁ፡ ከመ፡ ክበበ፡ ሰማይ፡ ወኵለንታሁ፡ ምሉእ፡ እሳተ፡ ዘያበርህ፡ ወያውዒ።
72:5	ወሠረገላተ፡ በኀበ፡ የዐርግ፡ ነፋስ፡ ይነፍኅ፡ ወየዐርብ፡ ፀሓይ፡ እምሰማይ፡ ወይገብእ፡ እንተ፡ መስዕ፡ ከመ፡ ይሑር፡ ምሥራቀ፡ ወይትመራሕ፡ ከመ፡ ይባእ፡ ኀበ፡ ዝኩ፡ ኆኅት፡ ወያበርህ፡ በገጸ፡ ሰማይ።
72:6	ወከመ፡ ዝ፡ ይወፅእ፡ በወርኅ፡ ቀዳማዊ፡ በኆኅት፡ ዐባይ፡ ወይወፅእ፡ እንተ፡ ይእቲ፡ ራብዕት፡ እምእልኩ፡ ኀዋኅው፡ ስድስቱ፡ እለ፡ መንገለ፡ ምሥራቀ፡ ፀሓይ።
72:7	ወበይእቲ፡ ራብዕት፡ ኆኅት፡ እንተ፡ እምኔሃ፡ ይወፅእ፡ ፀሓይ፡ በወርኅ፡ ቀዳማዊ፡ ባቲ፡ ዐሡሩ፡ ወክልኤ፡ ኀዋኅው፡ ርኅዋት፡ ዘእምኔሆን፡ ይወፅእ፡ ላህብ፡ ሶበ፡ ይትረኀዉ፡ እምዘመነ፡ ዚኣሆሙ።
72:8	ሶበ፡ ይሠርቅ፡ ፀሓይ፡ እምሰማይ፡ ይወፅእ፡ እንተ፡ ይእቲ፡ ራብዕት፡ ኆኅት፡ ሠላሳ፡ ጽባሐ፡ ወበራብዕት፡ ኆኅት፡ እንተ፡ እምዕራበ፡ ሰማይ፡ ርቱዐ፡ ይወርድ።
72:9	ወበእማንቱ፡ መዋዕል፡ ትነውኅ፡ ዕለት፡ እምዕለት፡ ወተኀጽር፡ ሌሊት፡ እምሌሊት፡ እስከ፡ ሠላሳ፡ ጽባሕ።
72:10	ወበይእቲ፡ ዕለት፡ ትነውኅ፡ ካዕበተ፡ ዕለት፡ እምሌሊት፡ ወትከውን፡ ዕለት፡ ጥንቁቀ፡ ዐሠርተ፡ ክፍለ፡ ወትከውን፡ ሌሊት፡ ሰመንተ፡ ክፍለ።
72:11	ወይወፅእ፡ ፀሓይ፡ እምይእቲ፡ ራብዕት፡ ኆኅት፡ ወየዐርብ፡ በራብዕት፡ ኆኅት፡ ወይገብእ፡ ውስተ፡ ኀምስት፡ ኆኅት፡ እንተ፡ ጽባሕ፡ ሠላሳ፡ ጽባሐ፡ ወይወፅእ፡ እምኔሃ፡ ወየዐርብ፡ ውስተ፡ ኀምስት፡ ኆኅት።
72:12	ወአሜሃ፡ ትነውኅ፡ ዕለት፡ ክልኤተ፡ እደ፡ ወትከውን፡ ዕለት፡ ዐሠርተ፡ ወአሐደ፡ ክፍለ፡ ወተኀጽር፡ ሌሊት፡ ወትከውን፡ ሰብዐተ፡ ክፍለ።
72:13	ወይገብእ፡ ፀሓይ፡ ለጽባሕ፡ ወይበውእ፡ ውስተ፡ ሳድስት፡ ኆኅት፡ ወይወፅእ፡ ወየዐርብ፡ በሳድስት፡ ኆኅት፡ ሠላሳ፡ ወአሐደ፡ ጽባሐ፡ በእንተ፡ ትእምርተ፡ ዚኣሃ።
72:14	ወበይእቲ፡ ዕለት፡ ትነውኅ፡ ዕለት፡ እምሌሊት፡ ወትከውን፡ ዕለት፡ ካዕበተ፡ ሌሊት፡ ወትከውን፡ ዕለት፡ ዐሠርተ፡ ወክልኤተ፡ ክፍለ፡ ወተኀጽር፡ ሌሊት፡ ወትከውን፡ ስድስተ፡ ክፍለ።
72:15	ወይትነሣእ፡ ፀሓይ፡ ከመ፡ ትኅጽር፡ ዕለት፡ ወትኑኅ፡ ሌሊት፡ ወይገብእ፡ ፀሓይ፡ ለጽባሕ፡ ወይበውእ፡ ውስተ፡ ሳድስት፡ ኆኅት፡ ወይሠርቅ፡ እምኔሃ፡ ወየዐርብ፡ ሠላሳ፡ ጽባሕ።
72:16	ወሶበ፡ ተፈጸመ፡ ሠላሳ፡ ጽባሕ፡ ተሐጽጽ፡ መዓልት፡ ወትከውን፡ አሐደ፡ ክፍለ፡ ጥንቁቀ፡ ወትከውን፡ ዕለት፡ ዐሠርተ፡ ወአሐደ፡ ክፍለ፡ ወሌሊት፡ ሰብዐተ፡ ክፍለ።
72:17	ወይወፅእ፡ ፀሓይ፡ እምነ፡ ምዕራብ፡ እምይእቲ፡ ሳድስት፡ ኆኅት፡ ወየሐውር፡ ምሥራቀ፡ ወይሠርቅ፡ በኀምስት፡ ኆኅት፡ ሠላሳ፡ ጽባሐ፡ ወየዐርብ፡ በምዕራብ፡ ካዕበ፡ በኀምስት፡ ኆኅት፡ እንተ፡ ምዕራብ።
72:18	ወበይእቲ፡ ዕለት፡ ተሐጽጽ፡ ዕለት፡ ክልኤተ፡ ክፍለ፡ ወትከውን፡ ዕለት፡ ዐሠርተ፡ ክፍለ፡ ወሌሊት፡ ሰመንተ፡ ክፍለ።
72:19	ወይወፅእ፡ ፀሓይ፡ እምይእቲ፡ ኀምስት፡ ኆኅት፡ ወየዐርብ፡ በኀምስት፡ ኆኅት፡ እንተ፡ ምዕራብ፡ ወይሠርቅ፡ በራብዕት፡ ኆኅት፡ በእንተ፡ ትእምርተ፡ ዚኣሃ፡ ሠላሳ፡ ወአሐደ፡ ጽባሐ፡ ወየዐርብ፡ በምዕራብ።
72:20	ወበይእቲ፡ ዕለት፡ ይትዔረይ፡ መዓልት፡ ምስለ፡ ሌሊት፡ ወይከውን፡ ዕሩየ፡ ወትከውን፡ ሌሊት፡ ተስዓተ፡ ክፍለ፡ ወመዓልት፡ ተስዓተ፡ ክፍለ።
72:21	ወይወፅእ፡ ፀሓይ፡ እምይእቲ፡ ኆኅት፡ ወየዐርብ፡ በምዕራብ፡ ወይገብእ፡ ለጽባሕ፡ ወይወፅእ፡ በሣልስት፡ ኆኅት፡ ሠላሳ፡ ጽባሐ፡ ወየዐርብ፡ በምዕራብ፡ በሣልስት፡ ኆኅት።
72:22	ወበይእቲ፡ ዕለት፡ ትነውኅ፡ ሌሊት፡ እምሌሊት፡ እስከ፡ ሠላሳ፡ ጽባሕ፡ ወተኀጽር፡ ዕለት፡ እምዕለት፡ እስከ፡ ሠላሳ፡ ዕለት፡ ወትከውን፡ ሌሊት፡ ዐሠርተ፡ ክፍለ፡ ጥንቁቀ፡ ወመዓልት፡ ሰመንተ፡ ክፍለ።
72:23	ወይወፅእ፡ ፀሓይ፡ እምይእቲ፡ ሣልስት፡ ኆኅት፡ ወየዐርብ፡ በሣልስት፡ ኆኅት፡ በዐረብ፡ ወይገብእ፡ ውስተ፡ ምሥራቅ፡ ወይወፅእ፡ ፀሓይ፡ ውስተ፡ ካልእት፡ ኆኅት፡ እምሥራቅ፡ ሠላሳ፡ ጽባሐ፡ ወከመ፡ ዝ፡ የዐርብ፡ በካልእ፡ ኆኅት፡ በምዕራበ፡ ሰማይ።
72:24	ወበይእቲ፡ ዕለት፡ ትከውን፡ ሌሊት፡ ዐሠርተ፡ ወአሐደ፡ ክፍለ፡ ወዕለት፡ ሰብዐተ፡ ክፍለ።
72:25	ወይወፅእ፡ ፀሓይ፡ በይእቲ፡ ዕለት፡ እምይእቲ፡ ካልእት፡ ኆኅት፡ ወየዐርብ፡ በምዕራብ፡ በካልእ፡ ኆኅት፡ ወይገብእ፡ በምሥራቅ፡ ወይወፅእ፡ በአሐቲ፡ ኆኅት፡ ሠላሳ፡ ወአሐደ፡ ጽባሐ፡ በእንተ፡ ትእምርተ፡ ዚኣየ፡ ወየዐርብ፡ በምዕራብ፡ በአሐቲ፡ ኆኅት።
72:26	ወበይእቲ፡ ዕለት፡ ትነውኅ፡ ሌሊት፡ ወትከውን፡ ካዕበታ፡ ለዕለት፡ ወትከውን፡ ሌሊት፡ ዐሠርተ፡ ወክልኤተ፡ ክፍለ፡ ጥንቁቀ፡ ወመዓልት፡ ሰብዐተ፡ ክፍለ።
72:27	ወፈጸመ፡ ፀሓይ፡ አርእስቲሁ፡ ወዳግመ፡ የዐውድ፡ ዲበ፡ እሉ፡ አርእስቲሁ፡ ወይበውእ፡ በውእቱ፡ ኆኅት፡ ሠላሳ፡ ጽባሐ፡ ወበምዕራብኒ፡ በአንጻሪሁ፡ የዐርብ።
72:28	ወበይእቲ፡ ዕለት፡ ተኀጽር፡ እምኑኃ፡ አሐደ፡ እደ፡ ዝ፡ ውእቱ፡ ክፍል፡ አሐዱ፡ ወትከውን፡ ሌሊት፡ ዐሠርተ፡ ወአሐደ፡ ክፍለ፡ ወመዓልት፡ አሐደ፡ ክፍለ።
72:29	ወገብአ፡ ፀሓይ፡ ወቦአ፡ ውስተ፡ ካልእ፡ ኆኅት፡ እንተ፡ ምሥራቅ፡ ወይገብእ፡ ዲበ፡ ዝኩ፡ አርእስቲሁ፡ ሠላሳ፡ ጽባሐ፡ ይሠርቅ፡ ወየዐርብ።
72:30	ወበይእቲ፡ ዕለት፡ ተኀጽር፡ ሌሊት፡ እምኑኃ፡ ወትከውን፡ ሌሊት፡ ዐሠርተ፡ ክፍለ፡ ወመዓልት፡ ሰመንተ፡ ክፍለ።
72:31	ወበይእቲ፡ ዕለት፡ ይወፅእ፡ ፀሓይ፡ እምይእቲ፡ ካልእት፡ ኆኅት፡ ወየዐርብ፡ በምዕራብ፡ ወይገብእ፡ ምሥራቀ፡ ወይሠርቅ፡ በሣልስት፡ ኆኅት፡ ሠላሳ፡ ወአሐደ፡ ጽባሐ፡ በእንተ፡ ትእምርተ፡ ዚኣሃ፡ ወየዐርብ፡ በምዕራበ፡ ሰማይ።
72:32	ወበይእቲ፡ ዕለት፡ ተኀጽር፡ ሌሊት፡ ወትከውን፡ ተስዓተ፡ ክፍለ፡ ወዕለት፡ ትከውን፡ ተስዓተ፡ ክፍለ፡ ወይትዔረይ፡ ሌሊት፡ ምስለ፡ መዓልት፡ ወይከውን፡ ዓመት፡ ጥንቁቀ፡ መዋዕለ፡ ሠለስተ፡ ምእተ፡ ስሳ፡ ወረቡዐ።
72:33	ወኑኃ፡ ለዕለት፡ ወለሌሊት፡ ወሕጸራ፡ ለዕለት፡ ወለሌሊት፡ በምሕዋረ፡ ፀሓይ፡ ውእቱ፡ ይትሌለይ።
72:34	ወበእንቲኣሁ፡ ይነውኅ፡ ምሕዋሪሁ፡ ወዕለት፡ እምዕለት፡ ይቀርብ፡ ወሌሊት፡ እምሌሊት፡ ይቀርብ።
72:35	ወዝ፡ ውእቱ፡ ትእዛዙ፡ ወምሕዋሩ፡ ለፀሓይ፡ ወምግባኡ፡ ወሶበ፡ ይገብእ፡ ለእንተ፡ ስሳ፡ ይገብእ፡ ወይወፅእ፡ ወዝ፡ ውእቱ፡ ብርሃን፡ ዐቢይ፡ ዘለዓለም፡ ዘይሰመይ፡ ፀሓየ፡ ለዓለመ፡ ዓለም።
72:36	ወዝንቱ፡ ውእቱ፡ ዘይወፅእ፡ ብርሃን፡ ዐቢይ፡ ዘይሰመይ፡ በአርአያ፡ ዚኣሁ፡ በከመ፡ አዘዘ፡ እግዚእ።
72:37	ወከመ፡ ዝ፡ ይወፅእ፡ ወይበውእ፡ ኢየሐጽጽ፡ ወኢየዐርፍ፡ አላ፡ ይረውጽ፡ መዓልተ፡ ወሌሊተ፡ በሠረገላ፡ ወብርሃነ፡ ዚኣሁ፡ ሰብዐተ፡ እደ፡ ያበርህ፡ እምዘወርኅ፡ ወአምጣኒሆሙ፡ ለክልኤሆሙ፡ ዘውግ።
73:1	ወድኅሬሁ፡ ለዝ፡ ትእዛዝ፡ ርኢኩ፡ ካልአ፡ ትእዛዘ፡ ለብርሃን፡ ንኡስ፡ ዘስሙ፡ ወርኅ።
73:2	ወክበቡ፡ ከመ፡ ክበበ፡ ሰማይ፡ ወሠረገላ፡ ዚኣሁ፡ በኀበ፡ ይጼዐን፡ ነፋሰ፡ ይነፍኅ፡ ወበመስፈርት፡ ይትወሀብ፡ ሎቱ፡ ብርሃን።
73:3	ወበኵሉ፡ ወርኅ፡ ሙፃኢሁ፡ ወሙባኢሁ፡ ይትዌለጥ፡ ወመዋዕሊሁ፡ ከመ፡ መዋዕለ፡ ፀሓይ፡ ወሶበ፡ ይዔሪ፡ ከዊነ፡ ብርሃኑ፡ ይከውን፡ ብርሃኑ፡ ሳብዐየ፡ እደ፡ እምብርሃነ፡ ፀሓይ።
73:4	ወከመ፡ ዝ፡ ይሠርቅ፡ ወርእሱ፡ ዘመንገለ፡ ጽባሕ፡ ይወፅእ፡ ሠላሳ፡ በሠላሳ፡ ጽባሕ፡ ወበይእቲ፡ ዕለት፡ ያስተርኢ፡ ወይከውን፡ ለክሙ፡ ርእሰ፡ ወርኅ፡ ሠላሳ፡ ጽባሐ፡ ምስለ፡ ፀሓይ፡ በኆኅት፡ እንተ፡ ይወፅእ፡ ፀሓይ።
73:5	ወመንፈቁ፡ ርሑቅ፡ ሰብዐቱ፡ እድ፡ አሐዱ፡ ወኵሉ፡ ክበበ፡ ዚኣሁ፡ በክ፡ ዘአልቦቱ፡ ብርሃነ፡ ዘእንበለ፡ ሳብዒት፡ እደ፡ ዚኣሁ፡ እምዐሠርቱ፡ ወአርባዕቱ፡ እደ፡ ብርሃኑ።
73:6	ወበዕለተ፡ ይነሥእ፡ ሳብዐየ፡ እደ፡ መንፈቀ፡ ብርሃኑ፡ ይከውን፡ ሰብዐቱ፡ ሰብዐተ፡ እድ፡ አሐቲ፡ ወመንፈቃ።
73:7	የዐርብ፡ ምስለ፡ ፀሓይ፡ ወሶበ፡ ይሠርቅ፡ ፀሓይ፡ ይሠርቅ፡ ወርኅ፡ ምስሌሁ፡ ወይነሥእ፡ መንፈቀ፡ እደ፡ ብርሃን፡ ወበይእቲ፡ ሌሊት፡ በርእሰ፡ ጽባሐ፡ ዚኣሁ፡ በቅድመ፡ ዕለቱ፡ ለወርኅ፡ የዐርብ፡ ወርኅ፡ ምስለ፡ ፀሓይ፡ ወይጸልም፡ በይእቲ፡ ሌሊት፡ ሰብዐቱ፡ ወስድስቱ፡ እድ፡ ወንፍቃ።
73:8	ወይሠርቅ፡ በይእቲ፡ ዕለት፡ ሳብዐየ፡ እደ፡ ጥንቁቀ፡ ወይወፅእ፡ ወይጸንን፡ እምሥራቀ፡ ፀሓይ፡ ወያበርህ፡ በተረፈ፡ ዕለቱ፡ ሰብዐተ፡ ወሰብዐተ፡ እደ።
74:1	ወካልአ፡ ምሕዋረ፡ ወትእዛዘ፡ ርኢኩ፡ ሎቱ፡ እንተ፡ በውእቱ፡ ትእዛዝ፡ ይገብር፡ ምሕዋሮ፡ ዘአውራኅ።
74:2	ወኵሎ፡ አርአየኒ፡ ኡርኤል፡ መልአክ፡ ቅዱስ፡ ዘውእቱ፡ መራሒሆሙ፡ ለኵሎሙ፡ ወምንባሪሆሙ፡ ጸሐፍኩ፡ በከመ፡ አርአየኒ፡ ወጸሐፍኩ፡ አውራኂሆሙ፡ በከመ፡ ሀለዉ፡ ወርእየተ፡ ብርሃኖሙ፡ እስከ፡ ተፈጸመ፡ ዐሠርቱ፡ ወኀምስቱ፡ መዋዕል።
74:3	በአሐዱ፡ ሰብዐተ፡ ሰብዐተ፡ እደ፡ ይፌጽም፡ ኵሎ፡ ብርሃኖ፡ በምሥራቅ፡ ወበበ፡ ሰብዐቱ፡ ሰብዐቱ፡ እድ፡ ይፌጽም፡ ኵሎ፡ ጽልመቶ፡ በምዕራብ።
74:4	ወበአውራኅ፡ እሙራት፡ ይፌጽም፡ ምዕራባቲሁ፡ ወበአውራኅ፡ እሙራት፡ የሐውር፡ ምሕዋሪሁ፡ አሐደ፡ አሐደ።
74:5	በክልኤቱ፡ ወርኅ፡ የዐርብ፡ ምስለ፡ ፀሓይ፡ በእሉ፡ ክልኤቱ፡ ኀዋኅው፡ እለ፡ በማእከል፡ በሣልስ፡ ወበራብዕ፡ ኆኅት።
74:6	ይወፅእ፡ ሰብዐተ፡ መዋዕለ፡ ወየዐውድ፡ ወይገብእ፡ ካዕበ፡ በኆኅት፡ እንተ፡ ይወፅእ፡ ፀሓይ፡ ወበውእቱ፡ ይፌጽም፡ ኵሎ፡ ብርሃኖ፡ ወይጸንን፡ እምፀሓይ፡ ወይበውእ፡ ሰሙነ፡ መዋዕለ፡ በሳድስት፡ ኆኅት፡ እንተ፡ እምኔሃ፡ ይወፅእ፡ ፀሓይ።
74:7	ወሶበ፡ ይወፅእ፡ ፀሓይ፡ እምራብዕት፡ ኆኅት፡ ይወፅእ፡ ሰቡዐ፡ መዋዕለ፡ እስከ፡ ይወፅእ፡ እምነ፡ ኀምስት፡ ወካዕበ፡ ይገብእ፡ ሰቡዐ፡ መዋዕለ፡ በኆኅት፡ ራብዕ፡ ወይፌጽም፡ ኵሎ፡ ብርሃኖ፡ ወይጸንን፡ ወይበውእ፡ በቀዳሚት፡ ኆኅት፡ ሰሙነ፡ መዋዕለ።
74:8	ወካዕበ፡ ይገብእ፡ ሰቡዐ፡ መዋዕለ፡ በራብዕት፡ ኆኅት፡ እንተ፡ እምኔሃ፡ ይወፅእ፡ ፀሓይ።
74:9	ወከመ፡ ዝ፡ ርኢኩ፡ ምንባሮሙ፡ በከመ፡ ሥርዐተ፡ አውራኂሆሙ፡ ይሠርቅ፡ ወየዐርብ፡ ፀሐይ።
74:10	ወበእማንቱ፡ መዋዕል፡ ኀምስቱ፡ ዓመት፡ ወይበጽሖ፡ ለፀሓይ፡ ሠላሳ፡ መዋዕል፡ ወኵሎሙ፡ መዋዕላት፡ ይበጽሕዎ፡ ለአሐዱ፡ ዓመት፡ እምእልኩ፡ ኀምስቱ፡ ዓመት፡ ተመሊኦሙ፡ ይከውኑ፡ ሠለስተ፡ ምእተ፡ ወስሳ፡ ወረቡዐ፡ መዋዕለ።
74:11	ወይበጽሕ፡ ምብጻሒሆሙ፡ ለፀሓይ፡ ወለከዋክብት፡ ስሱ፡ መዋዕል፡ እምኀምስቱ፡ ዓመታት፡ በበ፡ ስሱ፡ ይበጽሖሙ፡ ሠላሳ፡ ዕለት፡ ወየሐጽጽ፡ ወርኅ፡ እምፀሓይ፡ ወእምከዋክብት፡ ሠላሳ፡ መዋዕለ።
74:12	ወወርኅ፡ ያመጽኦሙ፡ ለዓመታት፡ ጥንቁቀ፡ ወኵሎሙ፡ በከመ፡ ምንባሪሆሙ፡ ኢይበድሩ፡ ወኢይዴኀሩ፡ አሐተ፡ ዕለተ፡ አላ፡ ይዌልጡ፡ ዓመተ፡ በጽድቅ፡ ጥንቁቀ፡ በበ፡ ሠለስቱ፡ ምእት፡ ወስሳ፡ ወረቡዕ፡ መዋዕል።
74:13	ለሠለስቱ፡ ዓመት፡ መዋዕሊሁ፡ ዐሠርቱ፡ ምእት፡ ወተስዓ፡ ወክልኤቱ፡ ወለኀምስቱ፡ ዓመት፡ መዋዕሊሁ፡ ዐሠርቱ፡ ወሰመንቱ፡ ምእት፡ ወዕሥራ፡ መዋዕል፡ ከመ፡ ይኩን፡ ለሰመንቱ፡ ዓመት፡ ዕሥራ፡ ወተስዓቱ፡ ምእት፡ ወዐሠርቱ፡ ወክልኤቱ፡ መዋዕልይ።
74:14	ለወርኅ፡ ለባሕቲቱ፡ ይበጽሕ፡ መዋዕሊሁ፡ ለሠለስቱ፡ ዓመት፡ ዐሠርቱ፡ ምእት፡ ወስሳ፡ ወክልኤቱ፡ መዋዕል፡ ወለኀምስቱ፡ ዓመት፡ የሐጽጽ፡ ኀምሳ፡ መዋዕለ፡ እስመ፡ ይትዌሰክ፡ በፀአቱ፡ ዲበ፡ ስሳ፡ ወክልኤቱ፡ መዋዕል።
74:15	ወይከውን፡ ለኀምስቱ፡ ዓመት፡ ዐሠርቱ፡ ወሰብዐቱ፡ ምእት፡ ወሰብዓ፡ መዋዕል፡ ከመ፡ ይኩን፡ ለወርኅ፡ በሰመንቱ፡ ዓመት፡ መዋዕሊሁ፡ ዕሥራ፡ ምእት፡ ወሰመንቱ፡ ምእት፡ ሠላሳ፡ ወክልኤቱ፡ መዋዕል።
74:16	እስመ፡ ሕጸጹ፡ ለሰመንቱ፡ ዓመት፡ መዋዕሊሁ፡ ሰማንያ፡ ወኵሎሙ፡ መዋዕል፡ ዘሐጸ፡ እምሰመንቱ፡ ዓም፡ ሰማንያ።
